Content;Likes;Date;Location
A future forest in Ghana, planted by you 🌱💚 #thankyou #treeplanting #africa #photography;3,259 likes;3 days ago;
Hello from a forest garden! If you want to find out how your trees are doing this month, travel to Senegal and take a look. Failing that, you can watch our latest tree update on Youtube 😉 In a nutshell: your searches with Ecosia are saving landscapes in Brazil by fighting fires, contributing towards the Green Belt Movement in Kenya and helping to feed local Senegalese communities. #SwitchToEcosia;3,010 likes;December 12;
Life in the mountains is tough. The forests are disappearing. For Felipe and his family in Santo Domingo, this means that every year he needs to walk further to collect firewood. It’s cold at the top of a mountain and families are dependable on wood for cooking and heating.Now he is part of the reforestation project with Progreso, which your searches are supporting. “In the past, us farmers cut down trees without thinking what it did to us and to those around”, he told us. Today, Felipe plants trees. He has built a tree nursery next to his house and sometimes his daughter, Noelia, helps him plant on their fields when she comes back from school.#InternationalMountainDay;1,622 likes;December 11;Peru
Planting trees empowers communities, gives women a stable income and helps to bring security to people in developing nations who are on the front line of climate change. #HumanRightsDay;1,967 likes;December 10;
"It's World Soil Day! 😎 Soils are the foundation to a healthy climate. Our friend Samuel from Peru knows this better than anyone: “I teach my children that the best guarantee they have for the future is to protect the soil of our lands. I try to plant that seed in their head, hoping they will understand."" #worldsoilday";1,964 likes;December 5;Peru
In Indonesia we’re planting tree species like the tengkawang, which produces nuts. These trees only thrive in diverse forests, so we’re able to protect the soil from harmful monocultures while feeding local communities.Diversity is key to generating new, creative ideas. Nature too benefits from a diverse set of plants and grasses.That’s why monocultures damage soil fertility and harm our planet. Say no to palm oil! 🚫 💐 🌰 🌴;2,300 likes;December 4;Indonesia
This women's collective in Ghana make a living off the local shea trees. The shea butter factory has also led to many new friendships! 💪🏾 🌰 🌳  #switchtoecosia;2,148 likes;November 29;
❤️ Happy #GivingTuesday! ❤️ ⠀Say thank you to someone you love. We plant 20 trees for every t-shirt sold, so your gift will support our planet, rural communities and endangered species. Shop via link in bio.⠀Oh, and free international shipping ends today at midnight UK time! Enter code ECOSIAGIVING on orders over €75 #tshirts #giveback #specialoffer;1,391 likes;November 27;
Did you know that if Ecosia was as big as Google, we could plant enough trees to offset global deforestation? Tag a friend who needs to know! 🌳☝️ #switchtoecosia;4,199 likes;November 25;
Spain’s land is becoming infertile. The climate knows no borders: what is true for Spain is true for the planet. Find out how your searches are helping to fix our agricultural system on blog.ecosia.org 💧;2,416 likes;November 24;
Spain is home to over half of Europe’s plant and animal species and produces 12% of Europe’s fruits and veg. Yet it is becoming a desert. ⠀Read about our first project in Europe: blog.ecosia.org 🍅 🌱  #spain #desert #treeplanting;2,386 likes;November 21;
❤️ Trees give oxygen, water, income and food. Support our reforestation efforts this Giving Tuesday with one of our new t-shirts ❤️ Link in bio 🛍️ #giveback #givingtuesday #thanksgiving #shopping #ecosiaclothing;2,297 likes;November 20;
A few months ago, villagers in the Sahel came together to prepare seed beds in the middle of the desert.⠀Then the rains came, and turned barren land into lush greenery. The new trees provide shade, food and healthy soil 🌳🌧️☀️ #switchtoecosia #burkinafaso #reforestation #climatechange;12,437 likes;November 19;Burkina Faso
Can you guess how old this tree is? Here’s a hint: younger than you might think… 🙊 🌱 #indonesia #nopalmoil #reforestation;2,623 likes;November 18;Indonesia
Greetings from Senegal! We've partnered with @WebSummit to plant a tree for every attendee, that's 70k in total. ⠀The trees are being planted right here in the region of Kaffrine, with help from our fantastic partner @treesforthefuture 🙌🏾🌱 Check out our Instagram story for daily updates. #treeplanting #senegal #forests #websummit;2,758 likes;November 15;
Say hello to Arin! She’s a post-grad agriculture student, pictured here monitoring the growth of your trees in Indonesia 👏🏼 #treeplanting #alternativesearch;2,240 likes;November 14;
New picture from our partners @edenprojects! 💚📸 Thanks to your searches, we’re building a forest corridor in Madagascar to protect the island’s diverse wildlife 🌳 #switchtoecosia #madagascar #lemur #animals;2,956 likes;November 11;
🗣️ Ecosians! We're visiting our tree-planting project in Senegal soon and need your help with a special project. Visit our Instagram story to find out more 🌳 💚 🙌🏾 #switchtoecosia #senegal #africa #treeplanting;1,881 likes;November 7;
Forest gardens in Senegal! 😍 We’ve started planting fast-growing fruit trees and food crops here to provide young farmers with opportunities at home. Images from our partner @treesforthefuture 💚#ecosia #senegal #treeplanting;2,211 likes;November 6;
Attending @WebSummit this year? We’re planting a tree for every attendee – that’s 70,000 in total!⠀Your tree will be planted in Senegal, in a forest garden that provides rural families with food and revitalises degraded land 🌷🍃🌳⠀Image by our partner @treesforthefuture 💚 #senegal #forest #websummit #lisbon #tech;2,610 likes;November 5;
Did you know that our Android browser now comes with ad-blocking? 🙌🏼 ⠀Get Ecosia for your mobile. Link in bio📱🍃🙋🏼 #browser #adblocking #treeplanting #cooltechstuff;1,350 likes;November 3;
A misogynistic president leading the world’s fourth biggest democracy is not just bad news for women’s rights globally.⠀It is also a major problem for the environment. Read more on ecosia.blog.org 😔 🌱 #womensrights #jairbolosanaro;1,608 likes;November 1;Brazil
Searching on the internet doesn't have to be creepy 👻 Ecosia protects your privacy online. Tag a friend to let them know! #happyhalloween #trickortrees #alwaysfeelslikesomebodyswatchingme;;October 31;
Ecosia isn’t a traditional business. Our profits go towards trees, not shareholders – and we’ve just made that commitment legally binding ✌🏻💸🌱 For most traditional entrepreneurs, this sounds like a terrible idea. But Ecosia isn’t a traditional business. Instead of maximizing shareholder value, we’re interested in maximizing the amount of trees we plant. Find out more in our latest podcast > blog.ecosia.org #socialbusiness #moneyfortrees #notforprofit #notforsale #ever;;October 25;
Exciting news! Our first-ever short film, entitled Uganda's New Forests, will premiere at the @festival_pariscience this weekend 🎉 It will be available to watch online next week! #shortfilm #documentary #ecosia #uganda #forests;;October 22;
Small scale farmers provide 70% of the world’s food. Yet it is estimated that by 2050, 70% of the world #population will live in #cities. Following this trend, much of #rural Spain is becoming dangerously depopulated. ⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀Belén and Leo are fighting against that pattern. They refuse to see their towns disappear and their landscapes perish as a result. With years of academic study under their belts, they are convinced that industrial farming needs a serious change. Belén and Leo represent a new generation bringing back #awareness for the role of farmers in our societies.⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀Thank you for supporting these entrepreneur-farmers in their fight to change how we think about our food, #soils and #landscapes. 👩🏽‍🌾🍃 👨🏽‍🌾🌄⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀#agriculture #ecosia #farmer #foodsecurity #water #trees;2,477 likes;October 19;Spain
There are now 40 million more trees in the world thanks to you! Thank you, Ecosians, for believing with us that there is still hope for the planet. 🌱 💕 🌏 Thank you for helping us plant that many trees.#goals #reforestation #1billiontrees #ecosia #environment;4,697 likes;October 18;Planet Earth
"Meet farmers Miguel and his son Miguel Ángel. Wanting to convince his father of the benefits of switching away from traditional farming practices, Miguel Ángel began using ecological practices on a small patch of their land. ⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀When Miguel saw that their almond trees were indeed healthier as a result, he was convinced. Ever since, he has cut down on chemical fertilisers and no longer over-ploughs his lands, but rather allows shrubs and grass to grow alongside his almond trees. ⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀ ⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀ ⠀⠀⠀⠀⠀⠀⠀Switching to ecological agriculture practices was not easy for Miguel. Not only did he have to invest money into new technology; without the help of pesticides, keeping his crops alive took intensive labour and dedication. Some neighbouring traditional farmers still mock him. To them, arable land that isn’t cleared of grass is the product of a lazy farmer. ⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀ ⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀Today, Miguel is proud of his son for having co-founded @asociacionalvelal, our tree-planting partner organization in Spain 💪🏾🌳⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀#generations #ecological #farming #heroeswithoutcapes";1,873 likes;October 17;Spain
Did you know that a large part of our fruit and vegetables here in Europe come directly from south-eastern Spain? ⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀Specifically from the regions of Andalusia, Murcia and southern Valencia. Spain is also home to 50% of Europe’s biodiversity.But a combination of industrial farming practices and modern urban developments in the past few decades have deforested these regions. With no trees, its soils are being washed out by rainfalls, to then be dried out by the sun. The result is infertile soils and an expanding desert. ⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀Thankfully there’s @asociacionalvelal, our project partners. Started by a group of farmers from the area, their goal is to extend ecological farming practices all around them to save Spain (and Europe) from no less than food scarcity. ⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀ ⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀🍊🌶🐝🦊 Your searches are supporting this incredible group of people that are securing Europe’s common orchard.;2,425 likes;October 16;Spain
There are many things wrong with our food system. What solutions do we have? ⠀Find out why we're calling for a global transition from “destructive agriculture” towards “regenerative agriculture” in our latest article on blog.ecosia.org.#agriculture #farming #longread #ecosia;2,110 likes;October 15;
Thanks to the wonders of technology, we can visit our tree-planting projects and use Ecosia at the same time! Get Ecosia for your mobile. Link in bio. #ecosia #mobile #app;2,824 likes;October 13;Spain
Our founder Christian Kroll talks about his decision to hand over his company shares to the Purpose Foundation in the latest @berlinvalley issue! 🌱 #switchtoecosia #socialbusiness #berlinstartup;;October 12;
Say hi to our tree nursery in Ghana 🌱👋 #switchtoecosia #treeplanting #ghana;3,164 likes;October 11;Ghana
Exciting news! 🎉 Ecosia has made a public offer to purchase the Hambach Forest from RWE. We want to protect the forest and keep lignite coal in the ground, to fight climate change and save a 12,000 year old ecosystem. We invite other companies to pitch in, too! Swipe to read the letter. Please share and support! #Hambibleibt #ecosia #RWE;7,260 likes;October 9;
Over 50,000 people attended yesterday's demo. They marched peacefully to save an ancient forest and protest against the use of lignite coal over renewable alternatives. Share and support Hambi! 🙌🏼 🌳 🇩🇪 #hambibleibt #demo #hambacherforest;3,517 likes;October 7;Merzenich, Nordrhein-Westfalen, Germany
By searching with Ecosia, you are supporting an organisation made up of over 300 tree-planting projects. Together, they form a pact that is committed to saving Brazil’s Atlantic Forest 🌳🌳🌳 #switchtoecosia #atlanticforest #brazil #naturephotography;2,012 likes;October 7;Brazil
Greetings from the Hambach Forest! Tens of thousands are protesting here today against the destruction of the 12,000 year old forest for coal mining. #CiaoRWE #hambibleibt;1,964 likes;October 6;Merzenich, Nordrhein-Westfalen, Germany
On Saturday we’ll be joining tens of thousands of demonstrators fighting to save the #HambachForest! German energy company RWE plans to cut it down later this month to make way for the expansion of the country’s largest coal surface mine.⠀The forest is nearly 12,000 years old, rich in biodiversity and home to 142 species regarded as important for conservation. Follow our Story on Saturday for live updates from the demo. More info on blog.ecosia.org 🙌 #hambibleibt #germany #rwe;2,398 likes;October 4;
In Ghana, your trees are grown in repurposed plastic water sachets to cut down on plastic pollution 💚 #treeplanting #ecosia #plastic #nowaste;2,168 likes;October 4;
Your searches are transforming Burkina Faso!⠀Before the rainy season, villagers dug seedbeds in the shape of half-moons to prevent rain from running off. Now, the seeds are sprouting and the desert is turning green 🌳😲 #switchtoecosia #desertification #africa #drone #photography;9,840 likes;October 2;
Brazil has been dubbed the farm of the world. Find out how we’re combating widespread deforestation caused by intensive livestock grazing in our latest blog post over at blog.ecosia.org. 🐄 🍃 #farming #brazil #agriculture #deforestation #climate #ecosia;1,639 likes;October 1;
Some of the 700,000 trees your searches are planting in Ghana this year 🌱 🌱 🌱 #switchtoecosia #ghana #treeplanting #nursery;2,581 likes;September 29;Ghana
Meet Ana, from Brazil. She’s been planting trees since she was 16. As a teenager, she convinced her boyfriend to plant trees together on their dates.⠀Two years later, she started Copaiba, a tree-planting organisation with her school friends. The aim is to create natural corridors that connect existing forest patches to each other, saving the lives of many animals. ⠀Your searches with Ecosia help Ana with her work. Thank you! 🌳 🌳 🌳 #reforestation #brazil #southamerica #ecosia #trees;1,933 likes;September 26;
Your searches are reforesting the banks of this river in Ghana to make the water flow year-round again. The local communities rely on the river for drinking water, washing and farming. Thank you! 💧 🌳 👍🏾 #switchtoecosia #ghana #africa #photography;2,217 likes;September 23;Ghana
This is Benedito, from Rio Claro, Brazil. Many years of intense animal grazing and inefficient agriculture in the area dried up his lands, rendering the soils dry and infertile.⠀So he started planting trees. After fifteen years, his community has restored more than ten hectares of forest, creating a more biodiverse, healthy environment. And thanks to the trees absorbing rain water and slowly releasing it, rivers are starting to fill up again with fresh water filtered through their roots.⠀Your searches support Benedito in his mission to reforest his lands. Together, we're restoring the Atlantic Rainforest. 💪🏾 #reforestation #brazil #southamerica #ecosia #trees;2,952 likes;September 19;Brazil
We’ve planted over 120,000 trees with MaterNatura as part of an initiative to restore Brazil’s Atlantic Forest, which has depleted by 85% in recent years. 🌳🌳🌳 #biodiversity #plantingtrees #switchtoecosia;2,830 likes;September 16;
These saplings are being planted along a river in Ghana. That way, your searches have a direct impact on the entire agricultural region 🌿 #photography #africa #trees #nature;2,167 likes;September 15;Ghana
How much money did we make this month, and what did we spend it on? Find out in our latest financial report on ecosia.dropmark.com 👩‍💻🌿 #socialbusiness #notforprofit #switchtoecosia;1,238 likes;September 14;
Subscribe to our Youtube channel and find out how your trees are doing in our latest update, filmed at Ecosia's HQ in Berlin! It also features one very special guest 👶🏼 Visit youtube.com/ecosiaorg 🌱 #meettheteam #berlinoffice #switchtoecosia;1,611 likes;September 12;
Is it better to prepare seed beds by hand or use a tractor? 💭 ⠀In Burkina Faso we found that a combination works best. Mechanical labor is fast. But manual labor can be applied in areas that are difficult to reach and provides people with a salary during the dry season. #switchtoecosia #photography #africa;1,624 likes;September 11;Burkina Faso
It’s amazing what we can achieve in a single year. Thanks to the millions of trees we’re planting in Tanzania, a landscape badly damaged by forest fires is being transformed 💚💪 #switchtoecosia #treeplanting #africa #photography;1,704 likes;September 10;Tanzania
All hands on deck at one of our tree nurseries in Morocco, which is situated at a local center for children who have been abandoned or fallen victim to violent crimes. Thank you for changing lives ❤️ #switchtoecosia #morocco #treenursery;1,612 likes;September 9;
In Peru, things have changed for the better. In the 80’s, the San Martin region was heavily deforested for cocaine production. Thanks to your searches, local farmers are now growing sustainable cocoa instead! 🍫🌳 #fromcocainetococoa #sweetlikechocolate #switchtoecosia;1,705 likes;September 8;
A future forest in Ghana, planted by you 🌱💚 #thankyou #treeplanting #africa #photography;3,428 likes;September 5;
Brand new designs now live on our shop! Reforesting the planet just got easier 🌳 👕 Shop via our link in bio. #sustainablefashion #treeplanting #ecosiashop;849 likes;September 4;
At Ecosia, we believe that our planet is more important than profit. Tell us about a social business you love in the comments below! 🌏 #socialbusiness #climatechange #nonprofit #postcapitalism;1,453 likes;September 4;
We don’t plant trees unless the local population really wants them. When we visited Burkina Faso and saw hundreds of villagers digging thousands of seedbeds in the midday heat, our minds were set to rest 💪🏾☀️ #switchtoecosia #regreenthedesert #africa;1,879 likes;September 3;
We asked Ecosia users to name a boat to help restore coastal mangroves in Madagascar, and so Earthship was born. Here she is in action!💧🌳🛶 #forests #madagascar #landahoy #switchtoecosia;1,422 likes;September 2;
Our content creator Fátima with the ITPA team in Brazil! Together we have planted over a million trees here so far 🌳 🌳 🌳 Find out more on our story.  #treeplanting #climatechange #brazil;1,744 likes;August 31;
Happy Friday, Ecosians! 📸 from our visit to our reforestation project in Ghana. #fridayfeeling #switchtoecosia #treeplanting;1,523 likes;August 31;
This women’s collective in Ghana told us that they’re planting trees for the next generation. He doesn’t know it yet. 👶🏾 🌏  #switchtoecosia #savetheearth #treesforafrica;1,706 likes;August 30;
Our Android browser doesn’t just plant trees. It also blocks annoying ads for a faster and smoother browsing experience! Get it for your mobile here: ecosia.co/walkandtree #blockads #planttrees #switchtoecosia;1,195 likes;August 29;
For the second episode of our podcast we spoke to Jonathan Watts, global environment editor at @guardian. 🌎👂🏼Listen on our blog: blog.ecosia.org #podcast #climatechange #guardian;;August 27;
We thought we knew all about tree-planting, but these women in the Sahel taught us otherwise. To re-green the degraded land around their villages, they dig seed beds in the shape of half-moons. This prevents the run-off of rain and allows seeds to sprout 💪🏾🌙🌱🏜️ #desertification #treeplanting #burkinafaso;2,109 likes;August 27;Burkina Faso
It’s been a wonderful rainy season in Burkina Faso! 💧The landscape used to be dry and degraded. Now the desert is turning green, and the locals couldn’t be happier 💚 #switchtoecosia #plantrees #makeitrain;2,575 likes;August 26;Burkina Faso
🐒 🌿 Searching with Ecosia helps to protect the habitats of endangered species, such as orangutans, chimpanzees and lemurs. Tag the animal lover in your life! #animals #lemurs #madagascar;5,068 likes;August 25;Madagascar
🌳🍊New pictures from our partner in Ghana!Mango, Cashew, Cassia and Dawadawa tree saplings are leaving the nursery to be planted around villages and on farms 🎉 Thank you for searching with Ecosia! #switchtoecosia  #fruitysearchengine #treeplanting;2,124 likes;August 24;Ghana
It's time to announce the winners of our #GIVEAWAY! 🌱🌿😊 Congratulations to @weinnie @hanna.meilh @milleous @sophiakstiles @marion.s11 @loyamuresg @jmhrafael @_theboyfrominsta_ @zephyr.acworth @charlesmilliet, you'll receive your classic Ecosia t-shirt very soon.Thank you to everyone who entered! If you missed out, check out our designs via the link in bio. Every t-shirt plants 20 trees 🌳👌🏼#sustainableclothing #treeplanting #giveaway;1,041 likes;August 23;
🗣️ Your searches don’t just plant trees. Together, we are helping farmers in Indonesia to process cocoa beans properly and sell them for a fairer price 💰 ⠀That way, farmers will no longer be under so much economic pressure to sell their land to oil multinationals. #switchtoecosia #abetterdealforindonesia;2,228 likes;August 23;Indonesia
☝🏿Planting a forest in the Sahel desert is unrealistic… unless you have the support and expertise of local village chiefs! ☝🏿 ⠀Nobody knows the village people and soils better than them. That's why our reforestation partner Hommes et Terre involves them every step of the way. #ecosia #africa #desert #environment;1,440 likes;August 21;Burkina Faso
9 months, 24 villages, 183 ridges, 3.1 million trees. Thank you! 🌱 👏 #switchtoecosia #tanzania #treeplanting;2,206 likes;August 17;Tanzania
🌳 To many rural communities, trees are wealth 🌳 ⠀ In Ghana we met a women’s collective who harvest, process and sell the fruits of the baobab tree. This income helps them pay for their children’s school fees and for medical bills.⠀They also have lots of fun together 😝💃🏾 #matriachy #girlpower #switchtoecosia;1,831 likes;August 16;Ghana
