data;contenuto
6h6 hours ago;I have changed my search engine and added #Ecosia to Chrome to plant trees with every search.Plant trees while you search the web We use the profit we make from your searches to plant trees where they are needed most. Plant trees with every search. https://www.ecosia.org/
17h17 hours ago;#Ecosia has been my default search engine since 2010! Great to see that they're going from strength to strength helping to reforest the Earth one search query at a time!  @Ecosiahttps://twitter.com/Ecosia/status/1074993436346994688?s=17 …
Dec 17 2018;I love this new search engine  bye bye google and chrome - HELLO #ecosia tree planting every search I make  pic.twitter.com/7khKU0E1mO
Dec 15 2018;I'd like to recommend #Ecosia as an alternative to @Google as a search engine.  It's hosted in Berlin and the search results are generated by Bing.  The company places ads alongside results which supports ecological efforts. Thanks to @ElizabethMay  for the tip!https://twitter.com/Ecosia/status/1066655253171453952 …
Mar 24 2018;Given how Google shares a big part of the blame for the propaganda infection which has swept North America consider using http://Ecosia.org  as a search engine. They plant a tree every time you do a search.#Ecosia
Aug 7 2018;I just got to know about this amazing search engine called Ecosia that you guys NEED to start using. Because for every time you hit search they plant a tree! Imagine how many times we hit Google everyday! That many trees. That's so incredible!!! #Ecosiahttps://www.ecosia.org
Dec 18 2018;A small change to your #searching habit makes a massively effective difference to our planet and air supply. #ecosia Remember Happy Planet = Happy Humans https://twitter.com/ecosia/status/1074993436346994688 …
Dec 17 2018;When my #ecoanxiety gets too big it always cheers me up to just watch #ecosia planting trees for a while.
Dec 13 2018;I'm nearly at 2000 searches = 44ish trees Search with #Ecosia folks! https://www.ecosia.org/
Dec 18 2018;I liked a @YouTube video http://youtu.be/3XVB2rsxWCk?a  LEGIT OR SCAM? ECOSIA - WHAT IT IS AND HOW IT WORKS #ECOSIA
Sep 23 2018;The problem I have with #ecosia https://www.ecosia.org/  -First of their cause is great no doubt but it can't scale.Whenever we design a model with altruistic end-goals incentivizing selfish altruism is a way better strategy than expecting people to behave altruistically.
Jul 31 2018;Everybody just use Ecosia instead of Google They plant trees from the money they are gaining#trees#savethevegetation#savetheplanet#plantings#Ecosia@Ecosia Finally people that want to make a difference
14-nov-17;this isn't an ad or sponsored post btw.. millions n billions of $$   go to large companies and is put to waste. something like #ecosia takes the $$ earned and puts it to good use: they even have their financial reports avail on their site.it's a simple switch.. you should try it! https://twitter.com/emilystranges/status/930595477778771970 …
May 7 2018;Currently using @Ecosia and i just want to say that you guys are doing an awesome job! #Ecosia
Mar 9 2018;Founder of #ECOSIA on stage at the Grimaldi Forum!! #PlantAhead #TrillionTrees @Ecosia @PlanetSpain @PftP_int
Mar 14 2018;#Ecosia is the search engine that uses its revenue to fund tree planting projects across the globe.  Sussex On Ecosia is a student-led campaign to make this the default browser across the Sussex University Campus. @SussexOnEcosia @SussexUnihttps://buff.ly/2FNdwE3
Dec 11 2018;Just Pinned to STYLISH FASHION: Ecosia uses the ad revenue from your searches to plant trees where they are needed the most. By searching with #Ecosia you’re not only reforesting our planet but you’re also empowering the communities around our planting… http://bit.ly/2zVxYP8 pic.twitter.com/s3eSLhgRa9
