Date;Total income this month;Reserves;Operating Costs;Salaries;Employment costs & taxes;Tax and tax provision;Server & domains;Office;Other;Travel;CO2 offset (quarterly);Spreading the Word;Number tree planted;Investiment on tree planting;Invested directly on tree planting;Invested in tree planted fund;Burkina Faso;Madagascar;Peru;Indonesia;Morocco;Nicaragua;Tanzania;Ethiopia;Brazil;Uganda;Kenya;Spain;Ghana;Colombia;Haiti;Senegal;Belgium;USA
lug-13;550;;;;;;;;;;;;526;440;;110;;;;;;;;;;;;;;;;;;
ago-13;12176;;;;;;;;;;;;11673;9740;;2436;;;;;;;;;;;;;;;;;;
set-13;65213;;;;;;;;;;;;62709;52170;;13043;;;;;;;;;;;;;;;;;;
ott-13;67323;;;;;;;;;;;;66133;58859;;8464;;;;;;;;;;;;;;;;;;
nov-13;72573;;;;;;;;;;;;70492;58059;;14514;;;;;;;;;;;;;;;;;;
dic-13;77632;;;;;;;;;;;;75549;62106;;15526;;;;;;;;;;;;;;;;;;
gen-14;27555;;;;;;;;;;;;33764;22044;;5511;;;;;;;;;;;;;;;;;;
feb-14;55111;;;;;;;;;;;;54866;44089;;11022;;;;;;;;;;;;;;;;;;
mar-14;81899;;;;;;;;;;;;80058;88953;;-7054;;;;;;;;;;;;;;;;;;
apr-14;103156;;;;;;;;;;;;101071;112301;;-9145;;;;;;;;;;;;;;;;;;
mag-14;84980;;;;;;;;;;;;81582;90647;;-5667;;;;;;;;;;;;;;;;;;
giu-14;65701;;;;;;;;;;;;60952;67724;;-2023;;;;;;;;;;;;;;;;;;
lug-14;85466;;;;;;;;;;;;77992;86658;;-1192;;;;;;;;;;;;;;;;;;
ago-14;72182;;;;;;;;;;;;64832;72035;;147;;;;;;;;;;;;;;;;;;
set-14;52381;;;;;;;;;;;;55030;61145;;-8764;;;;;;;;;;;;;;;;;;
ott-14;67230;;;;;;;;;;;;221429;70940;;-3710;;;;;;;;;;;;;;;;;;
nov-14;43541;;;;;;;;;;;;142857;45255;;-1714;;;;;;;;;;;;;;;;;;
dic-14;43989;;;;;;;;;;;;142857;40000;;3989;;;;;;;;;;;;;;;;;;
gen-15;109047;4907;41640;28275;8727;0;2389;1263;985;0;0;0;223214;67407;62600;4807;;;;;;;;;;;;;;;;;;
feb-15;121829;7365;47015;30215;8725;0;2804;1263;3037;0;0;0;239286;74365;67000;7365;;;;;;;;;;;;;;;;;;
mar-15;125528;7145;45920;28932;9296;0;2943;1263;2474;0;1012;463;257143;79145;72000;7145;;;;;;;;;;;;;;;;;;
apr-15;101573;4675;46174;30508;8417;0;3754;1263;1508;0;0;724;178571;54675;50000;4675;;;;;;;;;;;;;;;;;;
mag-15;115164;12529;52331;32209;8417;0;3748;1263;6540;0;0;154;179107;62679;50150;12529;;;;;;;;;;;;;;;;;;
giu-15;97418;8036;57162;31994;9048;0;5143;1263;8756;0;958;0;115071;40256;32220;8036;;;;;;;;;;;;;;;;;;
lug-15;106999;11115;50857;29563;9143;0;4768;3587;3778;0;0;277;159821;55865;44750;11115;;;;;;;;;;;;;;;;;;
ago-15;102303;11764;43289;23633;9190;0;4421;3582;2463;0;0;0;168750;59014;47250;11764;;;;;;;;;;;;;;;;;;
set-15;120250;14094;48526;27916;9171;0;2995;3582;4862;0;0;1130;201876;70594;56500;14094;;;;;;;;;;;;;;;;;;
ott-15;132534;15864;51397;28562;10704;0;3016;3580;4630;0;905;1573;227500;79564;63700;15864;;;;;;;;;;;;;;;;;;
nov-15;123948;11827;63524;40154;11891;0;2995;3765;4140;0;0;1147;169474;59277;47450;11827;;;;;;;;;;;;;;;;;;
dic-15;133463;15578;53132;30917;12682;0;3363;3574;2596;0;0;2303;223306;78028;62450;15578;;;;;;;;;;;;;;;;;;
gen-16;138145;18066;46878;26538;10875;0;3823;3574;2068;0;0;851;258393;90416;72350;18066;;;;;;;;;;;;;;;;;;
